Date,Stock,Close
2001-01-04,AAPL,0.3046880066394806
2001-01-04,F,26.9375
2001-01-04,AMZN,0.7749999761581421
2001-01-04,JPM,52.0
2001-01-04,MS,88.6875
2001-01-04,MSFT,24.21875
2001-01-04,WFC,26.0
2001-01-04,CSCO,41.875
2001-01-05,MS,84.625
2001-01-05,WFC,26.1875
2001-01-05,MSFT,24.5625
2001-01-05,CSCO,36.625
2001-01-05,JPM,48.9375
2001-01-05,AAPL,0.2924109995365143
2001-01-05,F,26.25
2001-01-05,AMZN,0.7281249761581421
2001-01-08,WFC,25.9375
2001-01-08,MSFT,24.46875
2001-01-08,MS,83.375
2001-01-08,JPM,49.25
2001-01-08,AAPL,0.295758992433548
2001-01-08,AMZN,0.746874988079071
2001-01-08,CSCO,36.546875
2001-01-08,F,25.625
2001-01-09,JPM,48.6875
2001-01-09,MSFT,25.90625
2001-01-09,AMZN,0.8187500238418579
2001-01-09,F,26.4375
2001-01-09,AAPL,0.3069199919700622
2001-01-09,WFC,24.71875
2001-01-09,MS,82.5
2001-01-09,CSCO,37.125
2001-01-10,CSCO,36.25
2001-01-10,AAPL,0.295758992433548
2001-01-10,WFC,24.34375
2001-01-10,AMZN,0.824999988079071
2001-01-10,F,26.25
2001-01-10,MS,86.0
2001-01-10,JPM,50.9375
2001-01-10,MSFT,26.4375
2001-01-11,F,26.9375
2001-01-11,AAPL,0.3214290142059326
2001-01-11,MS,87.5
2001-01-11,CSCO,39.125
2001-01-11,WFC,24.625
2001-01-11,JPM,54.125
2001-01-11,MSFT,27.5
2001-01-11,AMZN,0.8500000238418579
2001-01-12,F,26.375
2001-01-12,JPM,53.3125
2001-01-12,AAPL,0.3069199919700622
2001-01-12,WFC,24.34375
2001-01-12,MS,85.125
2001-01-12,CSCO,38.0625
2001-01-12,AMZN,0.8843749761581421
2001-01-12,MSFT,26.75
2001-01-16,JPM,53.1875
2001-01-16,AMZN,0.903124988079071
2001-01-16,MSFT,26.28125
2001-01-16,WFC,24.96875
2001-01-16,CSCO,38.5
2001-01-16,F,27.125
2001-01-16,MS,83.9375
2001-01-16,AAPL,0.3058040142059326
2001-01-17,MS,80.875
2001-01-17,MSFT,26.46875
2001-01-17,WFC,24.6875
2001-01-17,CSCO,39.0
2001-01-17,AAPL,0.3002229928970337
2001-01-17,F,26.875
2001-01-17,AMZN,0.918749988079071
2001-01-17,JPM,53.0
